mkt_unique_carrier,origin,dest,crs_dep_time,crs_arr_time,arr_delay,crs_elapsed_time,flights,distance,orig_weather_categ,dest_weather_categ,year,month,day,dep_time_of_day,arr_time_of_day,orig_region,dest_region
WN,SEA,SMF,2145,2330,19.0,105.0,1.0,605.0,cloudy,sunny,2019,7,23,1,1,Pacific,Pacific
WN,CMH,MDW,720,730,15.0,70.0,1.0,283.0,sunny,rain,2019,9,28,0,0,East-North Central,East-North Central
UA,LIT,ORD,1440,1636,-12.0,116.0,1.0,552.0,rain,sunny,2019,7,15,2,2,West-South Central,East-North Central
DL,CHS,JFK,1105,1301,-23.0,116.0,1.0,636.0,rain,cloudy,2018,11,20,0,2,South-Atlantic,Mid-Atlantic
DL,DTW,LAS,735,852,-16.0,257.0,1.0,1749.0,sunny,sunny,2019,7,9,0,0,East-North Central,South-West
AA,DFW,SNA,2040,2158,9.0,198.0,1.0,1205.0,cloudy,sunny,2019,3,30,3,1,West-South Central,Pacific
AS,PDX,SEA,1915,2004,74.0,49.0,1.0,129.0,sunny,cloudy,2018,7,18,3,3,Pacific,Pacific
AA,PHX,SGU,1001,1215,4.0,74.0,1.0,262.0,cloudy,sunny,2018,7,14,0,2,South-West,South-West
AA,PHX,AUS,1815,2127,16.0,132.0,1.0,872.0,sunny,cloudy,2019,11,17,3,1,South-West,West-South Central
UA,TUS,DEN,1615,1929,151.0,134.0,1.0,639.0,sunny,rain,2019,7,22,2,3,South-West,South-West
WN,BWI,ISP,1115,1220,-6.0,65.0,1.0,220.0,sunny,sunny,2019,7,20,0,2,Mid-Atlantic,Mid-Atlantic
AA,BNA,LGA,1144,1500,-11.0,136.0,1.0,764.0,cloudy,sunny,2019,4,24,0,2,East-South Central,Mid-Atlantic
DL,LGA,CMH,1327,1530,-13.0,123.0,1.0,479.0,cloudy,cloudy,2019,1,10,2,2,Mid-Atlantic,East-North Central
AS,SFO,LAX,1920,2056,69.0,96.0,1.0,337.0,cloudy,cloudy,2018,4,30,3,3,Pacific,Pacific
DL,ATL,BUF,1354,1557,-11.0,123.0,1.0,712.0,cloudy,sunny,2019,9,19,2,2,South-Atlantic,Mid-Atlantic
DL,CHS,ATL,1716,1839,-3.0,83.0,1.0,259.0,sunny,sunny,2018,4,27,3,3,South-Atlantic,South-Atlantic
DL,MSP,ORD,1735,1902,42.0,87.0,1.0,334.0,rain,cloudy,2019,5,16,3,3,West-North Central,East-North Central
AA,IAH,DFW,1818,1940,8.0,82.0,1.0,224.0,sunny,sunny,2018,6,12,3,3,West-South Central,West-South Central
NK,LAX,ORD,905,1520,32.0,255.0,1.0,1744.0,sunny,sunny,2019,4,1,0,2,Pacific,East-North Central
UA,DEN,EAR,1328,1540,-7.0,72.0,1.0,305.0,sunny,rain,2019,8,29,2,2,South-West,West-North Central
NK,BWI,DTW,1808,1945,0.0,97.0,1.0,409.0,sunny,cloudy,2019,7,31,3,3,Mid-Atlantic,East-North Central
AA,MIA,STL,832,1032,-28.0,180.0,1.0,1068.0,sunny,rain,2019,2,20,0,0,South-Atlantic,West-North Central
AA,CLT,CHO,2014,2120,16.0,66.0,1.0,245.0,sunny,sunny,2018,1,7,3,1,South-Atlantic,Mid-Atlantic
AA,MCO,ORD,1633,1838,-19.0,185.0,1.0,1005.0,sunny,rain,2019,9,21,2,3,South-Atlantic,East-North Central
AA,DFW,ONT,1645,1757,32.0,192.0,1.0,1188.0,sunny,cloudy,2018,11,28,2,3,West-South Central,Pacific
B6,SFO,FLL,802,1621,-24.0,319.0,1.0,2584.0,cloudy,rain,2018,1,21,0,2,Pacific,South-Atlantic
AA,PHX,MIA,849,1622,-10.0,273.0,1.0,1972.0,rain,cloudy,2018,10,22,0,2,South-West,South-Atlantic
UA,ITH,EWR,1920,2043,-36.0,83.0,1.0,172.0,sunny,sunny,2018,1,20,3,3,Mid-Atlantic,Mid-Atlantic
DL,RIC,MSP,610,812,-28.0,182.0,1.0,970.0,sunny,rain,2019,8,18,0,0,Mid-Atlantic,West-North Central
WN,PIT,TPA,1200,1425,-6.0,145.0,1.0,873.0,rain,cloudy,2018,2,10,2,2,Mid-Atlantic,South-Atlantic
WN,RNO,PHX,1645,1825,16.0,100.0,1.0,601.0,sunny,sunny,2018,3,26,2,3,South-West,South-West
F9,MCO,SAN,1807,2001,104.0,294.0,1.0,2149.0,rain,sunny,2019,7,11,3,3,South-Atlantic,Pacific
DL,PHX,MSP,645,1150,-13.0,185.0,1.0,1276.0,sunny,sunny,2018,3,14,0,0,South-West,West-North Central
UA,GJT,DEN,600,706,-18.0,66.0,1.0,212.0,sunny,sunny,2019,4,7,0,0,South-West,South-West
DL,ATL,LEX,1458,1610,-4.0,72.0,1.0,304.0,sunny,sunny,2018,9,18,2,2,South-Atlantic,East-South Central
AA,MKE,DFW,954,1228,-14.0,154.0,1.0,853.0,sunny,sunny,2018,5,31,0,2,East-North Central,West-South Central
B6,DTW,BOS,1032,1222,-8.0,110.0,1.0,632.0,rain,rain,2019,5,3,0,2,East-North Central,New England
HA,HNL,KOA,1815,1904,6.0,49.0,1.0,163.0,cloudy,sunny,2019,10,6,3,3,Pacific,Pacific
UA,DEN,MFR,1900,2038,-15.0,158.0,1.0,964.0,sunny,sunny,2018,7,6,3,3,South-West,Pacific
AA,DFW,LGA,901,1333,8.0,212.0,1.0,1389.0,sunny,rain,2019,4,28,0,2,West-South Central,Mid-Atlantic
DL,ATL,JFK,1205,1419,-9.0,134.0,1.0,760.0,rain,cloudy,2019,12,27,2,2,South-Atlantic,Mid-Atlantic
WN,OKC,DEN,2030,2105,39.0,95.0,1.0,495.0,sunny,sunny,2019,7,31,3,1,West-South Central,South-West
WN,AUS,SJC,1815,1955,-17.0,220.0,1.0,1476.0,sunny,sunny,2019,9,13,3,3,West-South Central,Pacific
DL,ATL,MDT,2111,2310,-17.0,119.0,1.0,620.0,rain,cloudy,2018,6,8,1,1,South-Atlantic,Mid-Atlantic
WN,LAS,OAK,625,750,0.0,85.0,1.0,407.0,sunny,sunny,2019,6,11,0,0,South-West,Pacific
WN,STL,EWR,835,1205,-20.0,150.0,1.0,872.0,sunny,rain,2019,9,23,0,2,West-North Central,Mid-Atlantic
UA,ORD,PAH,1310,1432,2.0,82.0,1.0,342.0,snow,cloudy,2018,12,3,2,2,East-North Central,East-South Central
WN,ATL,CMH,2140,2315,90.0,95.0,1.0,447.0,sunny,rain,2019,9,13,1,1,South-Atlantic,East-North Central
G4,AZA,LAS,2032,2139,32.0,67.0,1.0,276.0,sunny,sunny,2018,9,16,3,1,South-West,South-West
UA,SBA,LAX,615,713,-13.0,58.0,1.0,89.0,cloudy,rain,2019,12,6,0,0,Pacific,Pacific
AS,JFK,SJC,1655,2030,6.0,395.0,1.0,2569.0,rain,sunny,2019,7,23,2,3,Mid-Atlantic,Pacific
DL,ATL,CAK,942,1130,-1.0,108.0,1.0,528.0,rain,rain,2019,4,26,0,0,South-Atlantic,East-North Central
UA,HNL,SFO,1447,2258,-9.0,311.0,1.0,2398.0,sunny,sunny,2019,3,21,2,1,Pacific,Pacific
AA,IAH,DFW,620,743,-17.0,83.0,1.0,224.0,cloudy,cloudy,2019,12,27,0,0,West-South Central,West-South Central
UA,ORD,DSM,830,955,-20.0,85.0,1.0,299.0,sunny,sunny,2019,7,23,0,0,East-North Central,West-North Central
UA,DEN,MTJ,805,909,-20.0,64.0,1.0,196.0,rain,sunny,2018,6,14,0,0,South-West,South-West
DL,JFK,IND,1545,1818,-41.0,153.0,1.0,665.0,sunny,sunny,2019,10,18,2,3,Mid-Atlantic,East-North Central
AA,FAT,PHX,1625,1810,50.0,105.0,1.0,493.0,sunny,sunny,2019,6,23,2,3,Pacific,South-West
AA,DFW,GSP,1835,2158,-12.0,143.0,1.0,862.0,rain,sunny,2018,6,19,3,1,West-South Central,South-Atlantic
DL,DTW,PVD,2020,2208,-20.0,108.0,1.0,615.0,sunny,rain,2018,7,6,3,1,East-North Central,New England
UA,SFO,BOS,1040,1915,5.0,335.0,1.0,2704.0,cloudy,sunny,2019,12,19,0,3,Pacific,New England
AA,JFK,DCA,1711,1833,-4.0,82.0,1.0,213.0,sunny,sunny,2019,12,19,3,3,Mid-Atlantic,Mid-Atlantic
DL,BOS,TPA,1510,1839,6.0,209.0,1.0,1185.0,cloudy,sunny,2018,1,8,2,3,New England,South-Atlantic
UA,ORD,ICT,1930,2144,-19.0,134.0,1.0,588.0,cloudy,cloudy,2018,9,8,3,1,East-North Central,West-North Central
UA,LAX,MRY,1125,1247,-8.0,82.0,1.0,266.0,sunny,cloudy,2019,8,20,0,2,Pacific,Pacific
UA,IAH,MFE,1202,1319,11.0,77.0,1.0,316.0,rain,rain,2018,12,8,2,2,West-South Central,West-South Central
AA,SNA,DFW,1606,2109,-5.0,183.0,1.0,1205.0,cloudy,rain,2018,6,20,2,1,Pacific,West-South Central
AA,FLL,CLT,1718,1918,22.0,120.0,1.0,632.0,rain,rain,2018,11,1,3,3,South-Atlantic,South-Atlantic
NK,PBI,BOS,1250,1607,-27.0,197.0,1.0,1197.0,sunny,sunny,2019,3,26,2,2,South-Atlantic,New England
UA,LAX,SFO,1700,1830,-17.0,90.0,1.0,337.0,sunny,sunny,2019,8,13,3,3,Pacific,Pacific
UA,DEN,PHX,1410,1501,-10.0,111.0,1.0,602.0,sunny,rain,2019,4,16,2,2,South-West,South-West
AA,CLT,TYS,1300,1405,-12.0,65.0,1.0,177.0,rain,rain,2019,10,26,2,2,South-Atlantic,East-South Central
UA,IAH,GUC,1805,1942,-16.0,157.0,1.0,886.0,rain,sunny,2019,8,3,3,3,West-South Central,South-West
AA,DFW,SNA,655,800,-2.0,185.0,1.0,1205.0,rain,sunny,2019,6,19,0,0,West-South Central,Pacific
AS,SEA,BLI,800,850,-5.0,50.0,1.0,93.0,sunny,sunny,2019,5,8,0,0,Pacific,Pacific
UA,DEN,SFO,1010,1159,-12.0,169.0,1.0,967.0,snow,sunny,2018,11,8,0,0,South-West,Pacific
UA,ROC,EWR,1600,1730,-25.0,90.0,1.0,246.0,cloudy,cloudy,2018,1,15,2,3,Mid-Atlantic,Mid-Atlantic
WN,MDW,LAS,700,845,8.0,225.0,1.0,1521.0,cloudy,rain,2019,5,28,0,0,East-North Central,South-West
HA,HNL,KOA,506,551,-9.0,45.0,1.0,163.0,cloudy,sunny,2019,10,6,0,0,Pacific,Pacific
AA,GRB,ORD,1311,1425,2.0,74.0,1.0,174.0,rain,rain,2019,8,16,2,2,East-North Central,East-North Central
UA,SFO,MSP,1131,1712,11.0,221.0,1.0,1589.0,sunny,sunny,2018,9,26,0,3,Pacific,West-North Central
AA,DFW,CLE,1122,1453,15.0,151.0,1.0,1021.0,sunny,snow,2018,11,10,0,2,West-South Central,East-North Central
DL,BOS,DTW,1050,1255,-13.0,125.0,1.0,632.0,rain,rain,2018,9,25,0,2,New England,East-North Central
AA,CLT,BNA,1135,1212,-14.0,97.0,1.0,328.0,sunny,sunny,2018,3,31,0,2,South-Atlantic,East-South Central
HA,LAX,OGG,900,1310,-15.0,370.0,1.0,2486.0,cloudy,no weather data,2018,1,5,0,2,Pacific,Pacific
AA,MLB,CLT,1720,1910,9.0,110.0,1.0,490.0,cloudy,cloudy,2019,1,15,3,3,South-Atlantic,South-Atlantic
AA,BWI,CLT,1712,1858,-33.0,106.0,1.0,361.0,sunny,sunny,2019,8,29,3,3,Mid-Atlantic,South-Atlantic
WN,BNA,DEN,700,845,1.0,165.0,1.0,1014.0,rain,sunny,2019,5,30,0,0,East-South Central,South-West
VX,PHL,LAX,620,950,-37.0,390.0,1.0,2402.0,cloudy,rain,2018,3,14,0,0,Mid-Atlantic,Pacific
WN,MCO,MCI,805,955,-12.0,170.0,1.0,1072.0,rain,sunny,2018,9,23,0,0,South-Atlantic,West-North Central
DL,PIH,SLC,650,750,-20.0,60.0,1.0,150.0,sunny,sunny,2019,3,30,0,0,North-West,South-West
AA,CLT,TPA,926,1105,-10.0,99.0,1.0,507.0,sunny,rain,2018,8,26,0,0,South-Atlantic,South-Atlantic
AS,PDX,MSO,1650,1917,9.0,87.0,1.0,418.0,rain,rain,2018,5,10,2,3,Pacific,North-West
UA,PWM,EWR,1805,1942,104.0,97.0,1.0,284.0,rain,sunny,2018,8,16,3,3,New England,Mid-Atlantic
WN,BWI,JAX,1945,2140,-3.0,115.0,1.0,663.0,cloudy,rain,2019,8,27,3,1,Mid-Atlantic,South-Atlantic
AA,MSY,CLT,1621,1920,-14.0,119.0,1.0,651.0,sunny,sunny,2019,5,2,2,3,West-South Central,South-Atlantic
UA,MSP,EWR,1135,1532,-10.0,177.0,1.0,1008.0,sunny,cloudy,2019,8,2,0,2,West-North Central,Mid-Atlantic
DL,ATL,AGS,1341,1440,-4.0,59.0,1.0,143.0,sunny,sunny,2018,5,3,2,2,South-Atlantic,South-Atlantic
WN,STL,AUS,2125,2330,5.0,125.0,1.0,721.0,sunny,rain,2018,9,13,1,1,West-North Central,West-South Central
UA,SEA,SFO,935,1154,10.0,139.0,1.0,679.0,cloudy,cloudy,2019,11,14,0,0,Pacific,Pacific
DL,BNA,LAX,710,955,-16.0,285.0,1.0,1797.0,sunny,sunny,2018,11,10,0,0,East-South Central,Pacific
AA,ORD,MCO,921,1301,-22.0,160.0,1.0,1005.0,rain,sunny,2019,5,29,0,2,East-North Central,South-Atlantic
UA,OKC,IAH,1150,1321,-11.0,91.0,1.0,395.0,rain,cloudy,2018,3,19,0,2,West-South Central,West-South Central
WN,SAN,OAK,1650,1815,6.0,85.0,1.0,446.0,sunny,cloudy,2018,7,15,2,3,Pacific,Pacific
NK,MCO,DTW,1249,1534,-13.0,165.0,1.0,957.0,cloudy,sunny,2019,4,13,2,2,South-Atlantic,East-North Central
AA,DFW,COU,2029,2204,6.0,95.0,1.0,489.0,sunny,cloudy,2019,12,30,3,1,West-South Central,West-North Central
AA,LCH,DFW,1235,1356,122.0,81.0,1.0,295.0,rain,rain,2019,10,20,2,2,West-South Central,West-South Central
UA,DEN,ORD,819,1141,-11.0,142.0,1.0,888.0,sunny,sunny,2018,10,21,0,0,South-West,East-North Central
AS,SAN,PDX,1845,2126,-3.0,161.0,1.0,933.0,sunny,rain,2018,1,21,3,1,Pacific,Pacific
WN,OAK,LAS,1015,1150,-9.0,95.0,1.0,407.0,sunny,rain,2019,8,8,0,0,Pacific,South-West
DL,ATL,TLH,1657,1805,12.0,68.0,1.0,223.0,rain,rain,2019,7,8,2,3,South-Atlantic,South-Atlantic
AS,PSP,SEA,1730,2018,-5.0,168.0,1.0,987.0,sunny,rain,2018,2,16,3,3,Pacific,Pacific
DL,RHI,MSP,1547,1700,-18.0,73.0,1.0,190.0,sunny,sunny,2018,5,13,2,3,East-North Central,West-North Central
DL,IAH,MSP,735,1027,-15.0,172.0,1.0,1034.0,sunny,cloudy,2019,9,13,0,0,West-South Central,West-North Central
DL,TPA,ATL,1759,1937,-11.0,98.0,1.0,406.0,sunny,sunny,2018,4,30,3,3,South-Atlantic,South-Atlantic
AA,ORD,TPA,1219,1556,-2.0,157.0,1.0,1012.0,cloudy,rain,2018,3,30,2,2,East-North Central,South-Atlantic
UA,AUS,SFO,605,749,-13.0,224.0,1.0,1504.0,rain,sunny,2019,6,26,0,0,West-South Central,Pacific
AA,FSM,DFW,1421,1534,45.0,73.0,1.0,227.0,rain,rain,2019,1,3,2,2,West-South Central,West-South Central
UA,IAH,MSY,1645,1801,12.0,76.0,1.0,305.0,rain,cloudy,2018,4,13,2,3,West-South Central,West-South Central
DL,MSP,MSO,1945,2156,-8.0,191.0,1.0,1013.0,snow,snow,2019,1,28,3,1,West-North Central,North-West
AA,EWN,CLT,1919,2041,-11.0,82.0,1.0,221.0,sunny,cloudy,2018,9,5,3,3,South-Atlantic,South-Atlantic
DL,HPN,ATL,1729,2002,8.0,153.0,1.0,780.0,sunny,rain,2018,11,14,3,3,Mid-Atlantic,South-Atlantic
AA,PWM,ORD,1245,1433,-20.0,168.0,1.0,900.0,sunny,sunny,2019,7,20,2,2,New England,East-North Central
AA,ORD,LSE,1642,1748,13.0,66.0,1.0,215.0,cloudy,snow,2018,1,14,2,3,East-North Central,East-North Central
AA,FSD,ORD,1234,1412,70.0,98.0,1.0,462.0,sunny,snow,2018,2,11,2,2,West-North Central,East-North Central
WN,MCI,DEN,910,955,-12.0,105.0,1.0,533.0,cloudy,rain,2019,8,11,0,0,West-North Central,South-West
AA,CHO,CLT,1049,1211,-15.0,82.0,1.0,245.0,rain,rain,2019,5,11,0,2,Mid-Atlantic,South-Atlantic
WN,PDX,PHX,555,925,1.0,150.0,1.0,1009.0,snow,sunny,2019,2,25,0,0,Pacific,South-West
UA,PVD,EWR,600,720,-25.0,80.0,1.0,160.0,rain,rain,2019,5,10,0,0,New England,Mid-Atlantic
WN,BNA,MCI,1950,2120,40.0,90.0,1.0,491.0,sunny,rain,2018,7,5,3,1,East-South Central,West-North Central
AA,COS,DFW,630,924,52.0,114.0,1.0,592.0,cloudy,cloudy,2019,5,22,0,0,South-West,West-South Central
AA,STL,LAX,1634,1835,5.0,241.0,1.0,1592.0,cloudy,sunny,2018,6,14,2,3,West-North Central,Pacific
WN,MCO,RDU,905,1045,-17.0,100.0,1.0,534.0,rain,sunny,2018,12,3,0,0,South-Atlantic,South-Atlantic
AA,ROW,DFW,647,924,-6.0,97.0,1.0,435.0,sunny,sunny,2019,10,26,0,0,South-West,West-South Central
AA,IND,ORD,600,618,-25.0,78.0,1.0,177.0,rain,snow & rain,2019,2,12,0,0,East-North Central,East-North Central
B6,DEN,BOS,2227,419,23.0,232.0,1.0,1754.0,sunny,sunny,2018,7,19,1,1,South-West,New England
UA,SFO,IAD,1647,45,-33.0,298.0,1.0,2419.0,cloudy,cloudy,2019,1,7,2,1,Pacific,Mid-Atlantic
AA,DCA,SYR,1730,1848,0.0,78.0,1.0,298.0,cloudy,cloudy,2018,12,4,3,3,Mid-Atlantic,Mid-Atlantic
DL,OMA,DCA,1055,1430,-5.0,155.0,1.0,1012.0,cloudy,cloudy,2018,6,12,0,2,West-North Central,Mid-Atlantic
F9,PVD,DEN,1446,1732,-16.0,286.0,1.0,1737.0,cloudy,sunny,2019,10,6,2,3,New England,South-West
WN,TUS,LAS,1705,1825,-12.0,80.0,1.0,365.0,sunny,sunny,2019,8,12,3,3,South-West,South-West
WN,ABQ,MDW,1510,1900,151.0,170.0,1.0,1121.0,rain,sunny,2019,7,26,2,3,South-West,East-North Central
AA,PIT,LGA,722,900,28.0,98.0,1.0,335.0,rain,rain,2019,12,9,0,0,Mid-Atlantic,Mid-Atlantic
DL,STL,MSP,1727,1916,217.0,109.0,1.0,448.0,rain,snow,2019,2,20,3,3,West-North Central,West-North Central
DL,SEA,FAI,1053,1351,52.0,238.0,1.0,1533.0,rain,sunny,2019,4,11,0,2,Pacific,Pacific
UA,ORD,RSW,915,1308,-23.0,173.0,1.0,1120.0,cloudy,sunny,2019,11,28,0,2,East-North Central,South-Atlantic
WN,MDW,HOU,1615,1900,44.0,165.0,1.0,937.0,cloudy,rain,2018,6,25,2,3,East-North Central,West-South Central
UA,EWR,FLL,931,1234,3.0,183.0,1.0,1065.0,sunny,sunny,2018,4,11,0,2,Mid-Atlantic,South-Atlantic
AA,GNV,CLT,1049,1218,-4.0,89.0,1.0,388.0,sunny,sunny,2019,1,5,0,2,South-Atlantic,South-Atlantic
UA,SFO,EWR,915,1747,-18.0,332.0,1.0,2565.0,sunny,rain,2018,8,19,0,3,Pacific,Mid-Atlantic
DL,ATL,BDL,1251,1510,-12.0,139.0,1.0,859.0,sunny,cloudy,2018,9,23,2,2,South-Atlantic,New England
B6,MCO,DCA,557,800,-10.0,123.0,1.0,759.0,cloudy,sunny,2019,11,11,0,0,South-Atlantic,Mid-Atlantic
WN,LAS,ONT,1220,1320,25.0,60.0,1.0,197.0,sunny,sunny,2019,8,3,2,2,South-West,Pacific
UA,LAX,ORD,1600,2159,-2.0,239.0,1.0,1744.0,sunny,cloudy,2018,12,23,2,1,Pacific,East-North Central
DL,SAT,ATL,1650,2009,15.0,139.0,1.0,874.0,cloudy,cloudy,2019,2,5,2,3,West-South Central,South-Atlantic
DL,JAX,ATL,1415,1533,-1.0,78.0,1.0,270.0,sunny,rain,2019,12,10,2,2,South-Atlantic,South-Atlantic
DL,SLC,BUR,1120,1222,-14.0,122.0,1.0,574.0,sunny,sunny,2019,5,1,0,2,South-West,Pacific
WN,BUR,SFO,1230,1350,7.0,80.0,1.0,326.0,rain,rain,2018,11,22,2,2,Pacific,Pacific
WN,AUS,HOU,1415,1515,-9.0,60.0,1.0,148.0,rain,rain,2019,4,18,2,2,West-South Central,West-South Central
AA,MSP,ORD,601,736,-20.0,95.0,1.0,334.0,sunny,cloudy,2019,9,4,0,0,West-North Central,East-North Central
UA,ORD,SAN,1002,1228,-25.0,266.0,1.0,1723.0,sunny,sunny,2018,12,30,0,2,East-North Central,Pacific
AA,PVD,PHL,700,820,4.0,80.0,1.0,237.0,cloudy,sunny,2018,7,14,0,0,New England,Mid-Atlantic
WN,SMF,SAN,1500,1625,0.0,85.0,1.0,480.0,sunny,sunny,2019,5,29,2,2,Pacific,Pacific
B6,RIC,BOS,1231,1405,-16.0,94.0,1.0,474.0,cloudy,cloudy,2018,4,1,2,2,Mid-Atlantic,New England
UA,DEN,MFR,1900,2038,-13.0,158.0,1.0,964.0,rain,sunny,2018,8,6,3,3,South-West,Pacific
WN,MDW,HOU,825,1110,-3.0,165.0,1.0,937.0,sunny,cloudy,2018,12,9,0,0,East-North Central,West-South Central
AS,SEA,GEG,945,1055,-15.0,70.0,1.0,224.0,rain,rain,2019,4,5,0,0,Pacific,Pacific
AA,MIA,JFK,1805,2108,2.0,183.0,1.0,1089.0,cloudy,cloudy,2018,1,15,3,1,South-Atlantic,Mid-Atlantic
WN,SJC,LAX,950,1110,68.0,80.0,1.0,308.0,rain,rain,2019,2,15,0,0,Pacific,Pacific
WN,GEG,DEN,620,930,2.0,130.0,1.0,836.0,sunny,rain,2018,5,13,0,0,Pacific,South-West
DL,DTW,SAT,1540,1751,-15.0,191.0,1.0,1214.0,sunny,sunny,2018,6,15,2,3,East-North Central,West-South Central
DL,TVC,DTW,610,717,21.0,67.0,1.0,207.0,sunny,rain,2019,4,20,0,0,East-North Central,East-North Central
AA,MIA,JAX,2150,2317,1.0,87.0,1.0,335.0,cloudy,sunny,2019,3,24,1,1,South-Atlantic,South-Atlantic
AA,SAN,LAX,623,719,8.0,56.0,1.0,109.0,sunny,cloudy,2018,5,25,0,0,Pacific,Pacific
AA,MAF,DFW,807,925,-4.0,78.0,1.0,309.0,cloudy,rain,2019,5,2,0,0,West-South Central,West-South Central
DL,DCA,ATL,800,1000,-15.0,120.0,1.0,547.0,sunny,rain,2018,3,17,0,0,Mid-Atlantic,South-Atlantic
AS,PHX,SEA,1435,1641,15.0,186.0,1.0,1107.0,sunny,rain,2018,11,6,2,2,South-West,Pacific
UA,SFO,SMF,935,1033,-12.0,58.0,1.0,86.0,sunny,sunny,2018,8,7,0,0,Pacific,Pacific
WN,LAS,SAN,1340,1450,6.0,70.0,1.0,258.0,sunny,cloudy,2018,8,25,2,2,South-West,Pacific
WN,PVD,DCA,1800,1935,-20.0,95.0,1.0,356.0,sunny,sunny,2018,4,21,3,3,New England,Mid-Atlantic
WN,MCO,BWI,1405,1620,-12.0,135.0,1.0,787.0,rain,sunny,2018,7,8,2,2,South-Atlantic,Mid-Atlantic
AA,RNO,ORD,745,1343,0.0,238.0,1.0,1671.0,sunny,sunny,2019,8,27,0,2,South-West,East-North Central
WN,ORF,MDW,700,800,-12.0,120.0,1.0,704.0,rain,sunny,2018,8,4,0,0,Mid-Atlantic,East-North Central
UA,DFW,DEN,1705,1820,12.0,135.0,1.0,641.0,cloudy,sunny,2018,11,13,3,3,West-South Central,South-West
AA,PWM,DCA,1405,1559,11.0,114.0,1.0,482.0,sunny,sunny,2018,11,14,2,2,New England,Mid-Atlantic
WN,SAN,SLC,700,1000,-10.0,120.0,1.0,626.0,rain,snow,2019,11,28,0,0,Pacific,South-West
DL,JFK,FLL,810,1129,-5.0,199.0,1.0,1069.0,cloudy,sunny,2018,12,30,0,0,Mid-Atlantic,South-Atlantic
WN,HOU,LAS,1620,1735,-6.0,195.0,1.0,1235.0,cloudy,sunny,2019,10,26,2,3,West-South Central,South-West
DL,DEN,SEA,1215,1428,59.0,193.0,1.0,1024.0,sunny,cloudy,2018,10,3,2,2,South-West,Pacific
WN,BNA,DAL,1515,1710,8.0,115.0,1.0,623.0,rain,cloudy,2018,3,29,2,3,East-South Central,West-South Central
WN,BWI,BNA,750,855,-10.0,125.0,1.0,587.0,rain,rain,2019,12,9,0,0,Mid-Atlantic,East-South Central
AA,BWI,ORD,1845,2003,15.0,138.0,1.0,622.0,rain,rain,2018,5,20,3,3,Mid-Atlantic,East-North Central
AA,BWI,PHL,1600,1655,-9.0,55.0,1.0,90.0,sunny,sunny,2018,4,11,2,2,Mid-Atlantic,Mid-Atlantic
WN,DSM,LAS,1325,1435,-14.0,190.0,1.0,1216.0,rain,rain,2019,11,21,2,2,West-North Central,South-West
DL,DCA,BOS,1130,1309,-17.0,99.0,1.0,399.0,cloudy,cloudy,2019,10,29,0,2,Mid-Atlantic,New England
DL,BNA,ATL,805,1012,-6.0,67.0,1.0,214.0,cloudy,rain,2019,7,20,0,0,East-South Central,South-Atlantic
AA,RDU,MIA,1243,1450,-15.0,127.0,1.0,700.0,sunny,rain,2019,10,2,2,2,South-Atlantic,South-Atlantic
AA,ATL,DCA,901,1053,-4.0,112.0,1.0,547.0,cloudy,cloudy,2018,4,3,0,0,South-Atlantic,Mid-Atlantic
WN,SJC,SAN,1625,1745,-13.0,80.0,1.0,417.0,cloudy,sunny,2019,1,19,2,3,Pacific,Pacific
UA,ORD,DTW,1755,2025,-23.0,90.0,1.0,235.0,rain,sunny,2019,9,20,3,3,East-North Central,East-North Central
WN,BWI,MHT,2310,30,-2.0,80.0,1.0,377.0,sunny,sunny,2019,7,28,1,1,Mid-Atlantic,New England
B6,LGB,LAS,1311,1419,-9.0,68.0,1.0,231.0,sunny,sunny,2018,1,18,2,2,Pacific,South-West
AA,SAT,DFW,1435,1549,-17.0,74.0,1.0,247.0,cloudy,sunny,2019,7,7,2,2,West-South Central,West-South Central
UA,ORD,ATL,1805,2123,10.0,138.0,1.0,606.0,sunny,sunny,2019,8,7,3,1,East-North Central,South-Atlantic
DL,SNA,SEA,1845,2155,-35.0,190.0,1.0,978.0,cloudy,cloudy,2019,12,28,3,1,Pacific,Pacific
AA,ABQ,DFW,650,938,-11.0,108.0,1.0,569.0,sunny,rain,2019,10,28,0,0,South-West,West-South Central
WN,PIT,MDW,1905,1930,8.0,85.0,1.0,402.0,sunny,rain,2018,9,20,3,3,Mid-Atlantic,East-North Central
DL,ATL,DCA,1714,1910,38.0,116.0,1.0,547.0,rain,rain,2019,6,18,3,3,South-Atlantic,Mid-Atlantic
NK,FLL,BQN,2357,325,-2.0,148.0,1.0,982.0,sunny,sunny,2018,11,29,1,1,South-Atlantic,Offshore Territory
AA,LIT,CLT,705,1017,-2.0,132.0,1.0,640.0,sunny,sunny,2019,9,19,0,0,West-South Central,South-Atlantic
WN,LAX,PHX,2320,140,3.0,80.0,1.0,370.0,cloudy,sunny,2018,1,2,1,1,Pacific,South-West
DL,ATL,CMH,1025,1159,-18.0,94.0,1.0,447.0,rain,rain,2018,4,4,0,0,South-Atlantic,East-North Central
G4,MLI,PIE,859,1228,-23.0,149.0,1.0,1033.0,rain,rain,2018,7,14,0,2,East-North Central,South-Atlantic
UA,EWR,MSY,729,954,6.0,205.0,1.0,1167.0,sunny,sunny,2019,12,19,0,0,Mid-Atlantic,West-South Central
